RANK,Institution,Location,City,Latitute,Longitute,NationalRank,Research Performance,Score
63,University of Melbourne,Australia,Melbourne,-37.796368,144.961166,1,36,83.7
98,University of Sydney,Australia,Sydney,-33.884979,151.191406,2,38,81.9
106,University of Queensland,Australia,Brisbane,-27.49724583,153.0136369,3,54,81.5
112,University of New South Wales,Australia,Sydney,-33.884979,151.191406,4,77,81.3
123,Australian National University,Australia,Canberra,-35.28294,149.118759,5,138,80.9
130,Monash University,Australia,Melbourne,-37.910522,145.136215,6,68,80.6
151,University of Western Australia,Australia,Perth,-31.980068,115.817902,7,128,80
221,University of Adelaide,Australia,﻿Adelaide,-34.81102,138.619003,8,165,78.2
361,Curtin University,Australia,Perth,-34.79487686,138.6562163,9,327,75.8
378,Macquarie University,Australia,Sydney,-33.776981,151.113739,10,353,75.6
386,University of Newcastle,Australia,Sydney,-32.89266367,151.7039522,11,358,75.5
389,Griffith University,Australia,Gold Coast,-27.964991,153.381714,12,361,75.5
391,Deakin University,Australia,Melbourne,-37.83440558,145.1133282,13,362,75.4
398,University of Wollongong,Australia,Wollongong,-34.411388,150.885345,14,384,75.4
402,University of Technology Sydney,Australia,Sydney,-33.88324,151.2005,15,376,75.3
412,Queensland University of Technology,Australia,Brisbane,-26.726231,153.062958,16,387,75.2
419,University of Tasmania,Australia,Tasmania,-41.397041,147.120026,17,391,75.1
472,James Cook University,Australia,Brisbane,-26.717739,153.050995,18,444,74.5
510,La Trobe University,Australia,Melbourne,-37.7204602,145.0481458,19,479,74.1
514,Western Sydney University,Australia,Sydney,-33.88866,151.185837,20,485,74
521,University of South Australia,Australia,﻿Adelaide,-33.884979,151.191406,21,511,74
541,Flinders University,Australia,Adelaide,-35.026409,138.568939,22,507,73.8
547,RMIT University,Australia,Melbourne,-37.80762201,144.9647013,23,517,73.7
656,Swinburne University of Technology,Australia,Melbourne,-37.82076695,145.0382078,24,625,72.7
858,Murdoch University,Australia,Perth,42.288631,-71.330078,25,821,71.2
947,Victoria University,Australia,Melbourne,-37.79356689,144.8989227,26,905,70.6
1011,"University of New England, Australia",Australia,Armidale,-33.88498,151.1914,27,980,70.2
1061,Edith Cowan University,Australia,Melbourne,-37.81326455,144.960053,28,1020,69.9
1076,Australian Catholic University,Australia,Melbourne,-37.80733712,144.9779534,29,1031,69.8
1091,Charles Sturt University,Australia,Melbourne,-37.81688646,144.9575293,30,1042,69.8
1107,University of Canberra,Australia,Canberra,28.064859,-82.439148,31,1056,69.7
1111,Charles Darwin University,Australia,Melbourne,-37.81281966,144.9607101,32,1058,69.6
1270,University of Southern Queensland,Australia,Toowoomba,34.044369,-118.205017,33,1211,68.8
1341,Southern Cross University,Australia,Lismore,35.248692,-91.723083,34,1279,68.5
1412,University of the Sunshine Coast,Australia,Sunshine Coast,-26.726231,153.062958,35,1343,68.1
1675,Federation University Australia,Australia,Mount Helen,-37.62167,143.8909,36,1591,67
1684,Central Queensland University,Australia,Rockhampton,-27.681971,152.907547,37,1604,67
1761,University of Notre Dame Australia,Australia,Perth,-28.08371,153.420197,38,1684,66.7
1789,Bond University,Australia,Gold Coast,-28.072241,153.417664,39,1710,66.6